# Dataset: Stradario regione Umbria Sept 2025;;;
# Source: https://www.anncsu.gov.it/it/consultazione-dellarchivio/open-data/Accedi-ai-servizi-di-dowload-massivo-in-Open-data/;;;
name;ID;locality;municipality
VIALE SALVO D'ACQUISTO;323681;;Alviano
VICOLO AZZURRO;323614;;Alviano
VICOLO COCOLA;323629;;Alviano
VICOLO DEL CAMPANILE;323636;;Alviano
VICOLO DELLA ZILEA;323642;;Alviano
VICOLO DELLE FORESTE;323644;;Alviano
VICOLO NUOVO;323669;;Alviano
VOCABOLO ACQUASANTA;323610;STAZIONE DI ALVIANO;Alviano
VOCABOLO ACQUATUFARA;323611;;Alviano
VOCABOLO CAMPARCANGELO;323616;;Alviano
VOCABOLO CAPRARA;323620;STAZIONE DI ALVIANO;Alviano
VOCABOLO CARMELIA;323621;STAZIONE DI ALVIANO;Alviano
VOCABOLO CARPINETO;323623;STAZIONE DI ALVIANO;Alviano
VOCABOLO COCCIANESI;323628;;Alviano
VOCABOLO COLLE;323631;STAZIONE DI ALVIANO;Alviano
VOCABOLO CONFINO;323632;STAZIONE DI ALVIANO;Alviano
VOCABOLO FAGNANO;323645;;Alviano
VOCABOLO FELUCA;323646;STAZIONE DI ALVIANO;Alviano
VOCABOLO FONTANA DEL CANALE;323651;STAZIONE DI ALVIANO;Alviano
VOCABOLO FONTANANOVA;323653;;Alviano
VOCABOLO FONTANAVECCHIA;323652;;Alviano
VOCABOLO FONTANELLE;323654;;Alviano
VOCABOLO FOSSATELLO;323655;;Alviano
VOCABOLO FOSSICCIOLA;323657;STAZIONE DI ALVIANO;Alviano
VOCABOLO GIARDINELLO;323659;STAZIONE DI ALVIANO;Alviano
VOCABOLO GIARDINO;323660;;Alviano
VOCABOLO MADONNELLA;323667;STAZIONE DI ALVIANO;Alviano
VOCABOLO PAOLICCHIE;323672;;Alviano
VOCABOLO PIAN DELLA NAVE;323674;STAZIONE DI ALVIANO;Alviano
VOCABOLO PUPIGLIANO;323677;STAZIONE DI ALVIANO;Alviano
VOCABOLO SAN SILVESTRO;323686;STAZIONE DI ALVIANO;Alviano
VOCABOLO STAZIONE FERROVIARIA;323690;STAZIONE DI ALVIANO;Alviano
VOCABOLO VALLE;323697;;Alviano
VOCABOLO VILLA;323698;;Alviano
BELVEDERE SANTA FERMINA;1174261;;Amelia
LARGO ALCIDE DE GASPERI;1174250;;Amelia
LARGO ALESSANDRO VOLTA;1173994;FORNOLE;Amelia
LARGO CESARE NACCI;1174253;;Amelia
LARGO CRISTOFORO COLOMBO;1174036;;Amelia
LARGO DEI PADRI SOMASCHI;1174257;;Amelia
LARGO GIACOMO PRESUTTARI;1174256;;Amelia
PIAZZA AUGUSTO VERA;1174002;;Amelia
PIAZZA CANSACCHI;1174013;;Amelia
PIAZZA CARLO LINNEO;1174262;MACCHIE;Amelia
PIAZZA DEGLI SCHIAVONI;1174243;SAMBUCETOLE;Amelia
PIAZZA DELLA FONTANA;1174066;COLLICELLO;Amelia
PIAZZA DON SILVANO PALMIERI;1174239;FOCE;Amelia
PIAZZA GIACOMO MATTEOTTI;1174135;;Amelia
PIAZZA GIUSEPPE MAZZINI;1174139;;Amelia
PIAZZA GUGLIELMO MARCONI;1174140;;Amelia
PIAZZA PIETRO CALAMANDREI;1174264;COLLICELLO;Amelia
PIAZZA REGINA ELENA;1174180;FORNOLE;Amelia
PIAZZA TRE NOVEMBRE;1174145;PORCHIANO;Amelia
PIAZZA UNITA' D'ITALIA;1174263;;Amelia
PIAZZA VENTURELLI;1174211;;Amelia
PIAZZA VINCENZO LOJALI;1174150;;Amelia
PIAZZA XXI SETTEMBRE;1174215;;Amelia
PIAZZA XXV GENNAIO 1944;1174216;;Amelia
STRADA AMELIA GIOVE;1173995;;Amelia
STRADA AMERINA;1173996;;Amelia
STRADA AQUILANO;1174000;;Amelia
STRADA CAPO DI SOPRA;1174015;;Amelia
STRADA CASTEL DELL'AQUILA;1174022;SAMBUCETOLE;Amelia
STRADA DEGLI ORTACCI;1174162;MACCHIE;Amelia
STRADA DEGLI ZOPPI;1174043;FORNOLE;Amelia
STRADA DEI CAPPUCCINI;1174044;;Amelia
STRADA DEI CASALI;1174019;FORNOLE;Amelia
STRADA DEI MARTARILLI;1174152;MACCHIE;Amelia
STRADA DEL BRUGNETO;1174006;MONTECAMPANO;Amelia
STRADA DEL CIMITERO DI MONTECAMPANO;1174028;;Amelia
STRADA DEL CONSERVATORIO;1174035;;Amelia
STRADA DEL FONDO;1174052;;Amelia
STRADA DEL GRANARO;1174054;FOCE;Amelia
